backend,distance,physical_error_rate,logical_error_rate
stim_unrotated,7,0.0005,0.0
stim_unrotated,7,0.001,0.0
stim_unrotated,7,0.0015,0.0
stim_unrotated,7,0.002,2e-05
stim_unrotated,7,0.0025,8e-05
stim_unrotated,7,0.003,0.00016
stim_unrotated,7,0.0035,0.00032
stim_unrotated,7,0.004,0.00058
stim_unrotated,7,0.0045,0.00118
stim_unrotated,7,0.005,0.00166
checkerboard,7,0.0005,0.00626
checkerboard,7,0.001,0.01312
checkerboard,7,0.0015,0.02096
checkerboard,7,0.002,0.02804
checkerboard,7,0.0025,0.03352
checkerboard,7,0.003,0.03902
checkerboard,7,0.0035,0.04546
checkerboard,7,0.004,0.0533
checkerboard,7,0.0045,0.0591
checkerboard,7,0.005,0.06438
