backend,distance,physical_error_rate,logical_error_rate
stim_unrotated,5,0.0005,0.0
stim_unrotated,5,0.001,0.0001
stim_unrotated,5,0.0015,0.00022
stim_unrotated,5,0.002,0.00034
stim_unrotated,5,0.0025,0.00078
stim_unrotated,5,0.003,0.0016
stim_unrotated,5,0.0035,0.0025
stim_unrotated,5,0.004,0.00386
stim_unrotated,5,0.0045,0.00514
stim_unrotated,5,0.005,0.00706
checkerboard,5,0.0005,0.00592
checkerboard,5,0.001,0.0126
checkerboard,5,0.0015,0.01798
checkerboard,5,0.002,0.0243
checkerboard,5,0.0025,0.03128
checkerboard,5,0.003,0.038
checkerboard,5,0.0035,0.044
checkerboard,5,0.004,0.0487
checkerboard,5,0.0045,0.05424
checkerboard,5,0.005,0.06104
