lattice,distance,physical_error_rate,logical_error_rate
rotated,3,0.0005,2e-05
rotated,3,0.001,0.00064
rotated,3,0.0015,0.0012
rotated,3,0.002,0.00214
rotated,3,0.0025,0.003
rotated,3,0.003,0.00418
rotated,3,0.0035,0.00558
rotated,3,0.004,0.0063
rotated,3,0.0045,0.00836
rotated,3,0.005,0.01012
unrotated,3,0.0005,8e-05
unrotated,3,0.001,0.0003
unrotated,3,0.0015,0.00066
unrotated,3,0.002,0.00136
unrotated,3,0.0025,0.00218
unrotated,3,0.003,0.00308
unrotated,3,0.0035,0.00428
unrotated,3,0.004,0.00504
unrotated,3,0.0045,0.00664
unrotated,3,0.005,0.00886
