lattice,distance,physical_error_rate,logical_error_rate
rotated,7,0.0005,0.0
rotated,7,0.001,0.0
rotated,7,0.0015,4e-05
rotated,7,0.002,0.0001
rotated,7,0.0025,0.00028
rotated,7,0.003,0.00048
rotated,7,0.0035,0.0011
rotated,7,0.004,0.00136
rotated,7,0.0045,0.00218
rotated,7,0.005,0.004
unrotated,7,0.0005,0.0
unrotated,7,0.001,0.0
unrotated,7,0.0015,6e-05
unrotated,7,0.002,8e-05
unrotated,7,0.0025,0.00026
unrotated,7,0.003,0.00044
unrotated,7,0.0035,0.00104
unrotated,7,0.004,0.00146
unrotated,7,0.0045,0.00216
unrotated,7,0.005,0.0032
