distance,physical_error_rate,logical_error_rate
3,0.0005,0.00026
3,0.001,0.00062
3,0.0015,0.00102
3,0.002,0.00212
3,0.0025,0.00306
3,0.003,0.0044
3,0.0035,0.00448
3,0.004,0.00696
3,0.0045,0.0088
3,0.005,0.00988
5,0.0005,4e-05
5,0.001,8e-05
5,0.0015,0.00044
5,0.002,0.00038
5,0.0025,0.00126
5,0.003,0.00196
5,0.0035,0.00262
5,0.004,0.00454
5,0.0045,0.00544
5,0.005,0.00736
7,0.0005,0.0
7,0.001,2e-05
7,0.0015,2e-05
7,0.002,0.0001
7,0.0025,0.00038
7,0.003,0.00074
7,0.0035,0.0009
7,0.004,0.00172
7,0.0045,0.00352
7,0.005,0.00418
