distance,physical_error_rate,logical_error_rate
3,0.0005,0.0003
3,0.001,0.00068
3,0.0015,0.0015
3,0.002,0.00222
3,0.0025,0.00278
3,0.003,0.00462
3,0.0035,0.00554
3,0.004,0.00712
3,0.0045,0.00826
3,0.005,0.00982
5,0.0005,2e-05
5,0.001,2e-05
5,0.0015,0.00026
5,0.002,0.0005
5,0.0025,0.00072
5,0.003,0.00154
5,0.0035,0.00242
5,0.004,0.00316
5,0.0045,0.00436
5,0.005,0.0061
7,0.0005,0.0
7,0.001,0.0
7,0.0015,8e-05
7,0.002,8e-05
7,0.0025,0.00024
7,0.003,0.0006
7,0.0035,0.0009
7,0.004,0.00156
7,0.0045,0.00236
7,0.005,0.00312
