distance,physical_error_rate,logical_error_rate
3,0.0005,0.0
3,0.001,0.00038
3,0.0015,0.00052
3,0.002,0.00152
3,0.0025,0.00204
3,0.003,0.00292
3,0.0035,0.004
3,0.004,0.00552
3,0.0045,0.00682
3,0.005,0.00878
5,0.0005,0.0
5,0.001,0.0
5,0.0015,0.00012
5,0.002,0.00018
5,0.0025,0.00042
5,0.003,0.00076
5,0.0035,0.00126
5,0.004,0.00194
5,0.0045,0.00332
5,0.005,0.00422
7,0.0005,0.0
7,0.001,0.0
7,0.0015,0.0
7,0.002,0.0
7,0.0025,0.0001
7,0.003,0.00016
7,0.0035,0.00016
7,0.004,0.00062
7,0.0045,0.00092
7,0.005,0.00198
