distance,physical_error_rate,logical_error_rate
3,0.0005,0.0001
3,0.001,0.00048
3,0.0015,0.00132
3,0.002,0.00198
3,0.0025,0.00298
3,0.003,0.00462
3,0.0035,0.00584
3,0.004,0.00686
3,0.0045,0.00992
3,0.005,0.01252
5,0.0005,0.0
5,0.001,4e-05
5,0.0015,0.0002
5,0.002,0.00052
5,0.0025,0.00094
5,0.003,0.00176
5,0.0035,0.00224
5,0.004,0.00378
5,0.0045,0.00506
5,0.005,0.00666
7,0.0005,0.0
7,0.001,0.0
7,0.0015,2e-05
7,0.002,8e-05
7,0.0025,0.0002
7,0.003,0.0004
7,0.0035,0.00062
7,0.004,0.0013
7,0.0045,0.00208
7,0.005,0.00392
