distance,physical_error_rate,logical_error_rate
3,0.001,0.0006
3,0.0015,0.00122
3,0.002,0.00204
3,0.003,0.00396
3,0.004,0.0062
3,0.005,0.01002
3,0.006,0.0132533333333333
3,0.0065,0.0155066666666666
3,0.007,0.0181866666666666
3,0.0075,0.0199466666666666
3,0.008,0.0228
3,0.0085,0.02528
3,0.009,0.0274266666666666
3,0.0095,0.0300933333333333
3,0.01,0.0342
3,0.0125,0.04898
3,0.015,0.06542
3,0.02,0.10382
5,0.001,0.0001
5,0.0015,0.0003
5,0.002,0.00064
5,0.003,0.00194
5,0.004,0.00424
5,0.005,0.00722
5,0.006,0.01164
5,0.0065,0.0157333333333333
5,0.007,0.01852
5,0.0075,0.0217066666666666
5,0.008,0.02524
5,0.0085,0.03048
5,0.009,0.0364266666666666
5,0.0095,0.0389333333333333
5,0.01,0.0451066666666666
5,0.0125,0.07758
5,0.015,0.11406
5,0.02,0.20294
7,0.001,0.0
7,0.0015,4e-05
7,0.002,8e-05
7,0.003,0.00046
7,0.004,0.00184
7,0.005,0.0044
7,0.006,0.0087466666666666
7,0.0065,0.01176
7,0.007,0.0156
7,0.0075,0.0203066666666666
7,0.008,0.0239466666666666
7,0.0085,0.0305733333333333
7,0.009,0.03684
7,0.0095,0.04444
7,0.01,0.0537866666666666
7,0.0125,0.10388
7,0.015,0.16708
7,0.02,0.30598
9,0.001,0.0
9,0.0015,2e-05
9,0.002,4e-05
9,0.003,0.00014
9,0.004,0.00064
9,0.005,0.00274
9,0.006,0.0060266666666666
9,0.0065,0.009
9,0.007,0.0121866666666666
9,0.0075,0.0168133333333333
9,0.008,0.02268
9,0.0085,0.0314133333333333
9,0.009,0.0385333333333333
9,0.0095,0.0485866666666666
9,0.01,0.0592533333333333
9,0.0125,0.13526
9,0.015,0.22592
9,0.02,0.39202
