distance,physical_error_rate,logical_error_rate
3,0.001,0.0003
3,0.0015,0.00074
3,0.002,0.00156
3,0.003,0.00274
3,0.004,0.0057
3,0.005,0.00782
3,0.006,0.01192
3,0.0065,0.014
3,0.007,0.01636
3,0.0075,0.0190266666666666
3,0.008,0.0207066666666666
3,0.0085,0.0231466666666666
3,0.009,0.0260266666666666
3,0.0095,0.02884
3,0.01,0.0319333333333333
3,0.0125,0.05
3,0.015,0.06588
3,0.02,0.11254
5,0.001,2e-05
5,0.0015,0.0001
5,0.002,0.00022
5,0.003,0.00064
5,0.004,0.00146
5,0.005,0.00432
5,0.006,0.0066
5,0.0065,0.0096133333333333
5,0.007,0.01196
5,0.0075,0.0141866666666666
5,0.008,0.0183733333333333
5,0.0085,0.02172
5,0.009,0.0260266666666666
5,0.0095,0.0304266666666666
5,0.01,0.0355866666666666
5,0.0125,0.06968
5,0.015,0.10956
5,0.02,0.2136
7,0.001,0.0
7,0.0015,4e-05
7,0.002,0.0
7,0.003,0.00014
7,0.004,0.00056
7,0.005,0.00158
7,0.006,0.00448
7,0.0065,0.0056
7,0.007,0.00856
7,0.0075,0.0110666666666666
7,0.008,0.0155066666666666
7,0.0085,0.0201733333333333
7,0.009,0.02528
7,0.0095,0.0332666666666666
7,0.01,0.0407866666666666
7,0.0125,0.0961
7,0.015,0.17084
7,0.02,0.33024
9,0.001,0.0
9,0.0015,0.0
9,0.002,0.0
9,0.003,2e-05
9,0.004,0.00018
9,0.005,0.0009
9,0.006,0.00236
9,0.0065,0.0039866666666666
9,0.007,0.0059733333333333
9,0.0075,0.00884
9,0.008,0.0140666666666666
9,0.0085,0.01836
9,0.009,0.0259066666666666
9,0.0095,0.0344933333333333
9,0.01,0.04492
9,0.0125,0.12742
9,0.015,0.24086
9,0.02,0.42192
