distance,physical_error_rate,logical_error_rate
3,0.001,0.00062
3,0.0015,0.00116
3,0.002,0.00186
3,0.003,0.00474
3,0.004,0.00752
3,0.005,0.01252
3,0.006,0.0161466666666666
3,0.0065,0.0197866666666666
3,0.007,0.0221866666666666
3,0.0075,0.0253733333333333
3,0.008,0.02904
3,0.0085,0.0322
3,0.009,0.03472
3,0.0095,0.03968
3,0.01,0.0439466666666666
3,0.0125,0.06234
3,0.015,0.08322
3,0.02,0.13166
5,0.001,2e-05
5,0.0015,8e-05
5,0.002,0.0006
5,0.003,0.00168
5,0.004,0.00368
5,0.005,0.00712
5,0.006,0.01236
5,0.0065,0.0146266666666666
5,0.007,0.0186133333333333
5,0.0075,0.0237066666666666
5,0.008,0.02816
5,0.0085,0.0335066666666666
5,0.009,0.0381466666666666
5,0.0095,0.04416
5,0.01,0.0507066666666666
5,0.0125,0.08918
5,0.015,0.13962
5,0.02,0.24874
7,0.001,0.0
7,0.0015,0.0
7,0.002,6e-05
7,0.003,0.00028
7,0.004,0.00136
7,0.005,0.00348
7,0.006,0.0072
7,0.0065,0.0102666666666666
7,0.007,0.01376
7,0.0075,0.01764
7,0.008,0.0236666666666666
7,0.0085,0.0304266666666666
7,0.009,0.0372266666666666
7,0.0095,0.0456
7,0.01,0.054
7,0.0125,0.1159
7,0.015,0.19216
7,0.02,0.35252
9,0.001,0.0
9,0.0015,0.0
9,0.002,2e-05
9,0.003,0.0001
9,0.004,0.00046
9,0.005,0.00142
9,0.006,0.0043866666666666
9,0.0065,0.0062933333333333
9,0.007,0.0098933333333333
9,0.0075,0.0142933333333333
9,0.008,0.01916
9,0.0085,0.0256933333333333
9,0.009,0.034
9,0.0095,0.04424
9,0.01,0.0566933333333333
9,0.0125,0.14228
9,0.015,0.25598
9,0.02,0.4313
